,State,Year,Prod. Renewable (Bil. Btu),Pop. (1000s),Energy Pr. ($/mil. btu),Difference
1232,Delaware,1994,2422.0,718.0,8.6,-261452.0
1283,Delaware,1995,2476.0,730.0,9.0,-262590.0
1334,Delaware,1996,2642.0,741.0,9.3,-273047.0
1385,Delaware,1997,2203.0,751.0,9.8,-273945.0
1436,Delaware,1998,1936.0,763.0,9.3,-271737.0
1487,Delaware,1999,2001.0,775.0,9.5,-284865.0
1538,Delaware,2000,2290.0,786.0,10.4,-302800.0
1589,Delaware,2001,1325.0,796.0,11.2,-291156.0
1640,Delaware,2002,1314.0,806.0,11.2,-307498.0
1691,Delaware,2003,1401.0,818.0,12.3,-302437.0
1742,Delaware,2004,1435.0,831.0,14.0,-288355.0
1793,Delaware,2005,955.0,845.0,16.5,-301489.0
1844,Delaware,2006,872.0,859.0,19.8,-287693.0
1895,Delaware,2007,1531.0,872.0,21.1,-292176.0
1946,Delaware,2008,2952.0,884.0,24.4,-288582.0
1997,Delaware,2009,3577.0,892.0,21.2,-255864.0
2048,Delaware,2010,3838.0,900.0,23.5,-246483.0
2099,Delaware,2011,4172.0,907.0,25.3,-268582.0
2150,Delaware,2012,3581.0,915.0,24.7,-270062.0
2201,Delaware,2013,3795.0,924.0,24.1,-270466.0
2252,Delaware,2014,4224.0,933.0,23.8,-270115.0
2303,Delaware,2015,3516.0,941.0,20.1,-274342.0
2354,Delaware,2016,3110.0,949.0,18.5,-269950.0
2405,Delaware,2017,3279.0,957.0,20.2,-266500.0
2552,Delaware,2018,993.5,954.0,22.0,-295110.4
2553,Delaware,2019,881.4,963.2,22.5,-296918.7
2554,Delaware,2020,769.3,972.4,22.9,-298727.1
2555,Delaware,2021,657.1,981.6,23.3,-300535.4
2556,Delaware,2022,545.0,990.7,23.8,-302343.7
2557,Delaware,2023,432.9,999.9,24.2,-304152.0
2558,Delaware,2024,320.7,1009.1,24.7,-305960.4
2559,Delaware,2025,208.6,1018.3,25.1,-307768.7
2560,Delaware,2026,96.5,1027.5,25.5,-309577.0
2561,Delaware,2027,-15.6,1036.7,26.0,-311385.4
2562,Delaware,2028,-127.8,1045.9,26.4,-313193.7
2563,Delaware,2029,-239.9,1055.1,26.8,-315002.0
2564,Delaware,2030,-352.0,1064.3,27.3,-316810.4
7,District of Columbia,1970,113.0,756.0,1.7,-205778.0
58,District of Columbia,1971,116.0,750.0,2.0,-199281.0
109,District of Columbia,1972,118.0,742.0,2.1,-188712.0
160,District of Columbia,1973,114.0,731.0,2.4,-193328.0
211,District of Columbia,1974,129.0,718.0,3.7,-171155.0
262,District of Columbia,1975,131.0,707.0,4.3,-163030.0
313,District of Columbia,1976,146.0,692.0,4.5,-164290.0
364,District of Columbia,1977,158.0,677.0,5.1,-163195.0
415,District of Columbia,1978,193.0,665.0,5.8,-160085.0
466,District of Columbia,1979,210.0,650.0,6.7,-152221.0
517,District of Columbia,1980,2849.0,638.0,8.7,-150413.0
568,District of Columbia,1981,2311.0,637.0,9.9,-146960.0
619,District of Columbia,1982,3654.0,634.0,10.2,-160157.0
670,District of Columbia,1983,2563.0,632.0,10.9,-160012.0
721,District of Columbia,1984,3226.0,633.0,11.1,-163798.0
772,District of Columbia,1985,3327.0,635.0,11.6,-162607.0
823,District of Columbia,1986,3047.0,638.0,10.3,-171649.0
874,District of Columbia,1987,2226.0,637.0,10.1,-172007.0
925,District of Columbia,1988,2378.0,630.0,10.3,-172598.0
976,District of Columbia,1989,2511.0,624.0,10.5,-178022.0
1027,District of Columbia,1990,1283.0,605.0,11.1,-179737.0
1078,District of Columbia,1991,1345.0,601.0,11.1,-185795.0
1129,District of Columbia,1992,1412.0,598.0,11.4,-185359.0
1180,District of Columbia,1993,1946.0,595.0,11.9,-191431.0
1231,District of Columbia,1994,1849.0,589.0,12.4,-186857.0
1282,District of Columbia,1995,1851.0,581.0,12.4,-189115.0
1333,District of Columbia,1996,1922.0,572.0,13.1,-186587.0
1384,District of Columbia,1997,1378.0,568.0,13.2,-183864.0
1435,District of Columbia,1998,1222.0,565.0,13.2,-180382.0
1486,District of Columbia,1999,1259.0,570.0,13.3,-184444.0
1537,District of Columbia,2000,1354.0,572.0,14.6,-191211.0
1588,District of Columbia,2001,866.0,575.0,15.2,-187849.0
1639,District of Columbia,2002,881.0,573.0,14.6,-191785.0
1690,District of Columbia,2003,926.0,569.0,15.8,-188192.0
1741,District of Columbia,2004,943.0,568.0,16.7,-195913.0
1792,District of Columbia,2005,47.0,567.0,20.1,-195957.0
1843,District of Columbia,2006,52.0,571.0,24.0,-182458.0
1894,District of Columbia,2007,55.0,574.0,24.6,-194865.0
1945,District of Columbia,2008,65.0,580.0,27.5,-186768.0
1996,District of Columbia,2009,49.0,592.0,24.4,-195054.0
2047,District of Columbia,2010,114.0,605.0,25.7,-190220.0
2098,District of Columbia,2011,290.0,620.0,26.6,-183352.0
2149,District of Columbia,2012,285.0,635.0,25.4,-172528.0
2200,District of Columbia,2013,305.0,650.0,24.7,-174470.0
2251,District of Columbia,2014,344.0,663.0,24.9,-178934.0
2302,District of Columbia,2015,824.0,675.0,23.1,-177655.0
2353,District of Columbia,2016,1107.0,687.0,22.4,-173117.0
2404,District of Columbia,2017,1316.0,696.0,22.9,-166309.0
2539,District of Columbia,2018,978.3,582.7,25.5,-183920.9
2540,District of Columbia,2019,968.7,580.7,26.0,-184170.1
2541,District of Columbia,2020,959.0,578.8,26.5,-184419.3
2542,District of Columbia,2021,949.4,576.8,27.0,-184668.5
2543,District of Columbia,2022,939.7,574.9,27.5,-184917.8
2544,District of Columbia,2023,930.0,572.9,28.0,-185167.0
2545,District of Columbia,2024,920.4,571.0,28.5,-185416.2
2546,District of Columbia,2025,910.7,569.1,29.0,-185665.4
2547,District of Columbia,2026,901.1,567.1,29.4,-185914.6
2548,District of Columbia,2027,891.4,565.2,29.9,-186163.9
2549,District of Columbia,2028,881.8,563.2,30.4,-186413.1
2550,District of Columbia,2029,872.1,561.3,30.9,-186662.3
2551,District of Columbia,2030,862.4,559.3,31.4,-186911.5
9,Florida,1970,51035.0,6848.0,2.3,-1526415.0
60,Florida,1971,49968.0,7158.0,2.4,-1624165.0
111,Florida,1972,54389.0,7511.0,2.6,-1749616.0
162,Florida,1973,56250.0,7914.0,2.8,-1939069.0
213,Florida,1974,52429.0,8299.0,4.0,-1876616.0
264,Florida,1975,50007.0,8518.0,4.6,-1889830.0
315,Florida,1976,56507.0,8667.0,4.7,-2005513.0
366,Florida,1977,59953.0,8856.0,4.9,-2157524.0
417,Florida,1978,65357.0,9102.0,5.4,-2261964.0
468,Florida,1979,69419.0,9426.0,6.6,-2353080.0
519,Florida,1980,90049.0,9840.0,8.8,-2421868.0
570,Florida,1981,83117.0,10193.0,10.6,-2398926.0
621,Florida,1982,104674.0,10471.0,10.7,-2297463.0
672,Florida,1983,91705.0,10750.0,10.2,-2365640.0
723,Florida,1984,108740.0,11040.0,10.5,-2442519.0
774,Florida,1985,110698.0,11351.0,10.7,-2588278.0
825,Florida,1986,116356.0,11668.0,9.2,-2665600.0
876,Florida,1987,107606.0,11997.0,9.2,-2762950.0
927,Florida,1988,113802.0,12306.0,9.2,-2928254.0
978,Florida,1989,232261.0,12638.0,9.3,-3016269.0
1029,Florida,1990,198986.0,13033.0,10.2,-3081707.0
1080,Florida,1991,212955.0,13370.0,10.2,-3032751.0
1131,Florida,1992,230779.0,13651.0,9.9,-3077001.0
1182,Florida,1993,217028.0,13927.0,10.2,-3120102.0
1233,Florida,1994,215563.0,14239.0,9.9,-3242938.0
1284,Florida,1995,220211.0,14538.0,10.1,-3380851.0
1335,Florida,1996,240343.0,14853.0,10.7,-3448817.0
1386,Florida,1997,231308.0,15186.0,10.8,-3478071.0
1437,Florida,1998,205485.0,15487.0,10.2,-3632831.0
1488,Florida,1999,204114.0,15759.0,10.4,-3685267.0
1539,Florida,2000,194952.0,16048.0,12.1,-3849269.0
1590,Florida,2001,158038.0,16357.0,12.6,-3874141.0
1641,Florida,2002,174327.0,16689.0,12.2,-3971682.0
1692,Florida,2003,188473.0,17004.0,13.6,-3971707.0
1743,Florida,2004,179462.0,17415.0,15.2,-4133784.0
1794,Florida,2005,183175.0,17842.0,18.0,-4196013.0
1845,Florida,2006,185564.0,18167.0,20.8,-4247782.0
1896,Florida,2007,190489.0,18368.0,21.7,-4226473.0
1947,Florida,2008,195232.0,18527.0,25.2,-4070087.0
1998,Florida,2009,213645.0,18653.0,21.3,-3901366.0
2049,Florida,2010,230259.0,18846.0,22.1,-4047339.0
2100,Florida,2011,227710.0,19093.0,25.5,-3901443.0
2151,Florida,2012,223034.0,19326.0,25.6,-3790738.0
2202,Florida,2013,232984.0,19563.0,25.2,-3826275.0
2253,Florida,2014,230273.0,19860.0,25.1,-3865929.0
2304,Florida,2015,223068.0,20224.0,20.4,-4022366.0
2355,Florida,2016,222760.0,20630.0,18.8,-4004808.0
2406,Florida,2017,237547.0,20977.0,20.4,-3970974.0
2565,Florida,2018,269900.2,21371.6,22.9,-4495391.0
2566,Florida,2019,274317.8,21672.7,23.3,-4551577.4
2567,Florida,2020,278735.4,21973.7,23.8,-4607763.8
2568,Florida,2021,283152.9,22274.8,24.2,-4663950.2
2569,Florida,2022,287570.5,22575.9,24.6,-4720136.6
2570,Florida,2023,291988.1,22877.0,25.1,-4776323.0
2571,Florida,2024,296405.7,23178.1,25.5,-4832509.4
2572,Florida,2025,300823.3,23479.2,25.9,-4888695.9
2573,Florida,2026,305240.9,23780.2,26.4,-4944882.3
2574,Florida,2027,309658.5,24081.3,26.8,-5001068.7
2575,Florida,2028,314076.0,24382.4,27.2,-5057255.1
2576,Florida,2029,318493.6,24683.5,27.7,-5113441.5
2577,Florida,2030,322911.2,24984.6,28.1,-5169627.9
10,Georgia,1970,98222.0,4607.0,1.9,-1182598.0
61,Georgia,1971,109007.0,4712.0,2.0,-1239858.0
112,Georgia,1972,114745.0,4809.0,2.0,-1320839.0
163,Georgia,1973,125605.0,4910.0,2.2,-1429505.0
214,Georgia,1974,121581.0,4999.0,3.1,-1373987.0
265,Georgia,1975,123427.0,5064.0,3.6,-1366345.0
316,Georgia,1976,135157.0,5133.0,3.9,-1417372.0
367,Georgia,1977,136122.0,5220.0,4.3,-1492579.0
418,Georgia,1978,138170.0,5296.0,4.6,-1544875.0
469,Georgia,1979,149144.0,5401.0,5.5,-1580446.0
520,Georgia,1980,144038.0,5486.0,7.2,-1573198.0
571,Georgia,1981,122710.0,5568.0,8.4,-1571614.0
622,Georgia,1982,143870.0,5650.0,8.7,-1535839.0
673,Georgia,1983,151109.0,5728.0,8.2,-1598119.0
724,Georgia,1984,159451.0,5835.0,8.3,-1715728.0
775,Georgia,1985,146207.0,5963.0,8.4,-1784816.0
826,Georgia,1986,141713.0,6085.0,7.4,-1811949.0
877,Georgia,1987,146038.0,6208.0,7.5,-1903015.0
928,Georgia,1988,138695.0,6316.0,7.5,-1999568.0
979,Georgia,1989,218301.0,6411.0,7.6,-2001266.0
1030,Georgia,1990,235499.0,6513.0,8.3,-1993998.0
1081,Georgia,1991,226913.0,6653.0,8.2,-1995397.0
1132,Georgia,1992,234484.0,6817.0,8.1,-2031925.0
1183,Georgia,1993,239997.0,6978.0,8.2,-2178514.0
1234,Georgia,1994,240827.0,7157.0,8.1,-2194291.0
1285,Georgia,1995,249118.0,7328.0,8.0,-2366692.0
1336,Georgia,1996,256860.0,7501.0,8.4,-2516374.0
1387,Georgia,1997,262479.0,7685.0,8.4,-2488330.0
1438,Georgia,1998,256573.0,7864.0,8.0,-2526447.0
1489,Georgia,1999,231115.0,8046.0,8.1,-2570337.0
1540,Georgia,2000,222186.0,8227.0,9.9,-2695499.0
1591,Georgia,2001,192060.0,8377.0,10.2,-2625310.0
1642,Georgia,2002,283704.0,8508.0,9.5,-2649107.0
1693,Georgia,2003,221665.0,8623.0,10.8,-2732284.0
1744,Georgia,2004,226739.0,8769.0,12.4,-2866226.0
1795,Georgia,2005,215991.0,8926.0,15.3,-2891422.0
1846,Georgia,2006,207231.0,9156.0,16.4,-2881559.0
1897,Georgia,2007,200552.0,9350.0,17.3,-2877559.0
1948,Georgia,2008,173103.0,9505.0,21.0,-2773648.0
1999,Georgia,2009,194267.0,9621.0,16.7,-2719471.0
2050,Georgia,2010,221049.0,9712.0,18.4,-2889916.0
2101,Georgia,2011,221094.0,9802.0,21.6,-2773385.0
2152,Georgia,2012,207555.0,9901.0,21.8,-2569237.0
2203,Georgia,2013,248055.0,9973.0,21.4,-2544222.0
2254,Georgia,2014,268077.0,10069.0,21.2,-2592292.0
2305,Georgia,2015,270454.0,10181.0,17.4,-2585419.0
2356,Georgia,2016,281682.0,10305.0,16.5,-2548991.0
2407,Georgia,2017,271817.0,10413.0,17.9,-2530348.0
2578,Georgia,2018,283735.1,10517.1,19.2,-3017816.0
2579,Georgia,2019,287183.9,10648.3,19.6,-3053899.4
2580,Georgia,2020,290632.6,10779.5,20.0,-3089982.9
2581,Georgia,2021,294081.3,10910.7,20.3,-3126066.3
2582,Georgia,2022,297530.0,11042.0,20.7,-3162149.8
2583,Georgia,2023,300978.7,11173.2,21.1,-3198233.2
2584,Georgia,2024,304427.4,11304.4,21.5,-3234316.7
2585,Georgia,2025,307876.1,11435.6,21.8,-3270400.1
2586,Georgia,2026,311324.8,11566.8,22.2,-3306483.5
2587,Georgia,2027,314773.5,11698.0,22.6,-3342567.0
2588,Georgia,2028,318222.2,11829.2,22.9,-3378650.4
2589,Georgia,2029,321670.9,11960.4,23.3,-3414733.9
2590,Georgia,2030,325119.7,12091.7,23.7,-3450817.3
11,Hawaii,1970,1559.0,774.0,1.7,-195388.0
62,Hawaii,1971,1283.0,802.0,1.8,-210390.0
113,Hawaii,1972,1491.0,828.0,1.9,-216566.0
164,Hawaii,1973,1528.0,852.0,2.2,-222784.0
215,Hawaii,1974,1550.0,868.0,3.1,-210553.0
266,Hawaii,1975,1498.0,886.0,4.0,-212880.0
317,Hawaii,1976,1663.0,904.0,4.3,-218379.0
368,Hawaii,1977,1355.0,918.0,4.6,-231979.0
419,Hawaii,1978,1143.0,932.0,5.1,-235827.0
470,Hawaii,1979,1258.0,953.0,6.1,-255346.0
521,Hawaii,1980,12808.0,968.0,8.7,-249539.0
572,Hawaii,1981,13571.0,978.0,11.8,-223147.0
623,Hawaii,1982,13379.0,994.0,12.3,-204716.0
674,Hawaii,1983,14920.0,1013.0,11.4,-206230.0
725,Hawaii,1984,15372.0,1028.0,11.0,-217054.0
776,Hawaii,1985,15307.0,1040.0,10.2,-233247.0
827,Hawaii,1986,17315.0,1052.0,8.5,-228014.0
878,Hawaii,1987,18834.0,1068.0,8.7,-230627.0
929,Hawaii,1988,20427.0,1080.0,7.8,-269264.0
980,Hawaii,1989,28875.0,1095.0,8.5,-280892.0
1031,Hawaii,1990,27937.0,1113.0,9.9,-293483.0
1082,Hawaii,1991,27516.0,1137.0,9.8,-267634.0
1133,Hawaii,1992,26800.0,1159.0,9.6,-279230.0
1184,Hawaii,1993,27829.0,1173.0,11.0,-254822.0
1235,Hawaii,1994,25405.0,1188.0,10.7,-273628.0
1286,Hawaii,1995,24608.0,1197.0,11.1,-272166.0
1337,Hawaii,1996,24088.0,1204.0,13.0,-258972.0
1388,Hawaii,1997,22502.0,1212.0,13.3,-250981.0
1439,Hawaii,1998,21657.0,1215.0,11.9,-251730.0
1490,Hawaii,1999,21767.0,1210.0,12.5,-247585.0
1541,Hawaii,2000,20386.0,1214.0,15.2,-252921.0
1592,Hawaii,2001,12389.0,1226.0,15.3,-257726.0
1643,Hawaii,2002,10452.0,1240.0,14.2,-274199.0
1694,Hawaii,2003,13310.0,1251.0,15.6,-287595.0
1745,Hawaii,2004,13769.0,1274.0,17.7,-300932.0
1796,Hawaii,2005,12937.0,1293.0,21.4,-311740.0
1847,Hawaii,2006,14001.0,1310.0,24.3,-313115.0
1898,Hawaii,2007,15035.0,1316.0,25.0,-322559.0
1949,Hawaii,2008,15921.0,1332.0,35.9,-260523.0
2000,Hawaii,2009,15815.0,1347.0,25.2,-260079.0
2051,Hawaii,2010,15253.0,1364.0,30.5,-261872.0
2102,Hawaii,2011,16647.0,1379.0,38.4,-268933.0
2153,Hawaii,2012,18206.0,1395.0,40.1,-259787.0
2204,Hawaii,2013,22392.0,1408.0,38.8,-256075.0
2255,Hawaii,2014,24081.0,1415.0,37.5,-255234.0
2306,Hawaii,2015,24570.0,1422.0,28.3,-258262.0
2357,Hawaii,2016,27136.0,1428.0,25.1,-255473.0
2408,Hawaii,2017,26432.0,1424.0,27.8,-256982.0
2591,Hawaii,2018,26891.3,1476.1,31.7,-283354.4
2592,Hawaii,2019,27325.4,1489.7,32.4,-284665.5
2593,Hawaii,2020,27759.6,1503.2,33.1,-285976.6
2594,Hawaii,2021,28193.7,1516.7,33.8,-287287.7
2595,Hawaii,2022,28627.9,1530.3,34.5,-288598.7
2596,Hawaii,2023,29062.0,1543.8,35.1,-289909.8
2597,Hawaii,2024,29496.2,1557.3,35.8,-291220.9
2598,Hawaii,2025,29930.3,1570.9,36.5,-292532.0
2599,Hawaii,2026,30364.5,1584.4,37.2,-293843.0
2600,Hawaii,2027,30798.6,1597.9,37.9,-295154.1
2601,Hawaii,2028,31232.8,1611.5,38.5,-296465.2
2602,Hawaii,2029,31666.9,1625.0,39.2,-297776.3
2603,Hawaii,2030,32101.1,1638.6,39.9,-299087.4
13,Idaho,1970,85735.0,718.0,1.8,-210664.0
64,Idaho,1971,89445.0,739.0,1.8,-222160.0
115,Idaho,1972,92776.0,763.0,1.8,-241257.0
166,Idaho,1973,97216.0,782.0,2.0,-239792.0
217,Idaho,1974,111472.0,808.0,2.6,-236341.0
268,Idaho,1975,118011.0,832.0,3.0,-240847.0
319,Idaho,1976,121380.0,857.0,3.4,-240818.0
370,Idaho,1977,85968.0,883.0,3.7,-280453.0
421,Idaho,1978,119334.0,911.0,4.0,-250574.0
472,Idaho,1979,113729.0,933.0,4.9,-270282.0
523,Idaho,1980,113407.0,948.0,6.6,-234248.0
574,Idaho,1981,115694.0,962.0,7.6,-246190.0
625,Idaho,1982,137242.0,974.0,7.9,-213068.0
676,Idaho,1983,152250.0,982.0,7.8,-193399.0
727,Idaho,1984,156347.0,991.0,7.9,-190462.0
778,Idaho,1985,132508.0,994.0,8.0,-222306.0
829,Idaho,1986,146627.0,990.0,7.0,-195507.0
880,Idaho,1987,101722.0,985.0,7.3,-243776.0
931,Idaho,1988,87512.0,986.0,7.1,-278194.0
982,Idaho,1989,124650.0,994.0,7.0,-275082.0
1033,Idaho,1990,119510.0,1012.0,7.5,-285884.0
1084,Idaho,1991,116020.0,1041.0,7.4,-299438.0
1135,Idaho,1992,95133.0,1072.0,7.5,-324909.0
1186,Idaho,1993,126225.0,1109.0,7.5,-308983.0
1237,Idaho,1994,106699.0,1145.0,7.7,-343210.0
1288,Idaho,1995,139907.0,1177.0,7.5,-323656.0
1339,Idaho,1996,164235.0,1203.0,7.9,-332951.0
1390,Idaho,1997,179342.0,1229.0,7.9,-320109.0
1441,Idaho,1998,160202.0,1252.0,7.4,-344028.0
1492,Idaho,1999,167747.0,1276.0,7.6,-359802.0
1543,Idaho,2000,141448.0,1299.0,9.0,-398347.0
1594,Idaho,2001,105045.0,1320.0,9.8,-395940.0
1645,Idaho,2002,113779.0,1340.0,9.9,-382539.0
1696,Idaho,2003,109553.0,1363.0,10.7,-360180.0
1747,Idaho,2004,112379.0,1392.0,11.7,-389516.0
1798,Idaho,2005,121084.0,1428.0,13.7,-389771.0
1849,Idaho,2006,146507.0,1469.0,15.1,-377600.0
1900,Idaho,2007,125621.0,1505.0,15.9,-415719.0
1951,Idaho,2008,133541.0,1534.0,18.1,-403803.0
2002,Idaho,2009,134502.0,1554.0,15.6,-368001.0
2053,Idaho,2010,133288.0,1571.0,17.2,-385741.0
2104,Idaho,2011,177643.0,1584.0,19.7,-340705.0
2155,Idaho,2012,155318.0,1595.0,20.2,-356289.0
2206,Idaho,2013,139239.0,1612.0,20.2,-388762.0
2257,Idaho,2014,155418.0,1631.0,20.6,-365939.0
2308,Idaho,2015,152332.0,1652.0,16.9,-384747.0
2359,Idaho,2016,150622.0,1683.0,15.5,-387524.0
2410,Idaho,2017,171224.0,1719.0,16.7,-382664.0
2617,Idaho,2018,154634.1,1687.6,18.0,-413836.1
2618,Idaho,2019,155685.6,1708.2,18.4,-418170.0
2619,Idaho,2020,156737.1,1728.9,18.8,-422503.8
2620,Idaho,2021,157788.6,1749.5,19.1,-426837.7
2621,Idaho,2022,158840.1,1770.1,19.5,-431171.5
2622,Idaho,2023,159891.6,1790.7,19.8,-435505.4
2623,Idaho,2024,160943.1,1811.4,20.2,-439839.3
2624,Idaho,2025,161994.6,1832.0,20.5,-444173.1
2625,Idaho,2026,163046.1,1852.6,20.9,-448507.0
2626,Idaho,2027,164097.5,1873.2,21.2,-452840.8
2627,Idaho,2028,165149.0,1893.9,21.6,-457174.7
2628,Idaho,2029,166200.5,1914.5,21.9,-461508.6
2629,Idaho,2030,167252.0,1935.1,22.3,-465842.4
14,Illinois,1970,41064.0,11128.0,1.7,-3655673.0
65,Illinois,1971,40628.0,11202.0,1.8,-3682128.0
116,Illinois,1972,41490.0,11252.0,1.9,-3888177.0
167,Illinois,1973,43861.0,11251.0,2.1,-3975620.0
218,Illinois,1974,43952.0,11262.0,2.8,-3912506.0
269,Illinois,1975,42898.0,11292.0,3.2,-3817693.0
320,Illinois,1976,47471.0,11343.0,3.4,-3971898.0
371,Illinois,1977,51314.0,11386.0,3.8,-4048167.0
422,Illinois,1978,62925.0,11413.0,4.2,-4136496.0
473,Illinois,1979,64626.0,11397.0,5.2,-3984755.0
524,Illinois,1980,92366.0,11435.0,6.7,-3675894.0
575,Illinois,1981,103172.0,11443.0,7.7,-3444036.0
626,Illinois,1982,117555.0,11423.0,8.2,-3276489.0
677,Illinois,1983,145584.0,11409.0,8.5,-3327163.0
728,Illinois,1984,145655.0,11412.0,8.2,-3356345.0
779,Illinois,1985,150398.0,11400.0,8.5,-3283875.0
830,Illinois,1986,160460.0,11387.0,7.8,-3256461.0
881,Illinois,1987,171863.0,11391.0,8.0,-3300160.0
932,Illinois,1988,180027.0,11390.0,7.6,-3522292.0
983,Illinois,1989,149116.0,11410.0,8.0,-3470113.0
1034,Illinois,1990,116949.0,11453.0,8.7,-3463260.0
1085,Illinois,1991,126106.0,11569.0,8.6,-3517901.0
1136,Illinois,1992,134420.0,11694.0,8.5,-3488412.0
1187,Illinois,1993,121028.0,11810.0,8.8,-3604942.0
1238,Illinois,1994,122485.0,11913.0,8.8,-3620832.0
1289,Illinois,1995,120808.0,12008.0,8.7,-3732388.0
1340,Illinois,1996,88200.0,12102.0,9.1,-3850443.0
1391,Illinois,1997,102905.0,12186.0,9.2,-3810914.0
1442,Illinois,1998,105215.0,12272.0,8.8,-3720918.0
1493,Illinois,1999,104015.0,12359.0,8.7,-3891253.0
1544,Illinois,2000,109798.0,12434.0,10.5,-3904036.0
1595,Illinois,2001,112800.0,12488.0,11.1,-3770770.0
1646,Illinois,2002,139883.0,12526.0,10.1,-3758998.0
1697,Illinois,2003,158918.0,12556.0,11.2,-3766693.0
1748,Illinois,2004,153542.0,12590.0,12.5,-3818767.0
1799,Illinois,2005,136566.0,12610.0,14.8,-3980515.0
1850,Illinois,2006,134512.0,12644.0,15.9,-3832562.0
1901,Illinois,2007,163645.0,12696.0,17.3,-3909646.0
1952,Illinois,2008,195287.0,12747.0,19.9,-3882136.0
2003,Illinois,2009,245581.0,12797.0,15.8,-3613437.0
2054,Illinois,2010,266552.0,12841.0,17.3,-3689263.0
2105,Illinois,2011,267046.0,12867.0,19.4,-3671264.0
2156,Illinois,2012,278334.0,12884.0,19.2,-3539718.0
2207,Illinois,2013,296306.0,12898.0,18.4,-3678613.0
2258,Illinois,2014,307336.0,12889.0,18.9,-3738272.0
2309,Illinois,2015,326171.0,12864.0,15.6,-3566788.0
2360,Illinois,2016,340351.0,12827.0,14.6,-3555940.0
2411,Illinois,2017,370323.0,12786.0,15.9,-3501223.0
2630,Illinois,2018,279170.1,13032.1,18.1,-3658950.4
2631,Illinois,2019,284505.9,13075.1,18.4,-3658278.1
2632,Illinois,2020,289841.7,13118.1,18.8,-3657605.8
2633,Illinois,2021,295177.4,13161.1,19.1,-3656933.5
2634,Illinois,2022,300513.2,13204.1,19.4,-3656261.2
2635,Illinois,2023,305849.0,13247.1,19.8,-3655588.9
2636,Illinois,2024,311184.8,13290.1,20.1,-3654916.6
2637,Illinois,2025,316520.6,13333.2,20.5,-3654244.3
2638,Illinois,2026,321856.3,13376.2,20.8,-3653572.0
2639,Illinois,2027,327192.1,13419.2,21.1,-3652899.7
2640,Illinois,2028,332527.9,13462.2,21.5,-3652227.4
2641,Illinois,2029,337863.7,13505.2,21.8,-3651555.1
2642,Illinois,2030,343199.5,13548.2,22.2,-3650882.8
15,Indiana,1970,28494.0,5202.0,1.4,-2191281.0
66,Indiana,1971,27156.0,5253.0,1.5,-2209061.0
117,Indiana,1972,30826.0,5302.0,1.5,-2405059.0
168,Indiana,1973,32102.0,5338.0,1.8,-2442370.0
219,Indiana,1974,32017.0,5362.0,2.4,-2400005.0
270,Indiana,1975,31342.0,5366.0,2.8,-2346425.0
321,Indiana,1976,36021.0,5389.0,3.0,-2374219.0
372,Indiana,1977,38768.0,5426.0,3.5,-2446828.0
423,Indiana,1978,45814.0,5470.0,3.8,-2489723.0
474,Indiana,1979,51858.0,5501.0,4.4,-2533904.0
525,Indiana,1980,56145.0,5491.0,5.7,-2344052.0
576,Indiana,1981,59181.0,5480.0,6.3,-2300093.0
627,Indiana,1982,58101.0,5468.0,6.9,-2119353.0
678,Indiana,1983,63692.0,5450.0,6.8,-2134065.0
729,Indiana,1984,60540.0,5458.0,6.8,-2210462.0
780,Indiana,1985,69981.0,5459.0,6.9,-2231311.0
831,Indiana,1986,72081.0,5454.0,6.3,-2190450.0
882,Indiana,1987,76608.0,5473.0,6.1,-2304083.0
933,Indiana,1988,80322.0,5492.0,6.1,-2404035.0
984,Indiana,1989,69238.0,5524.0,6.3,-2447815.0
1035,Indiana,1990,60100.0,5558.0,6.7,-2431703.0
1086,Indiana,1991,60995.0,5616.0,6.8,-2413332.0
1137,Indiana,1992,61853.0,5675.0,6.6,-2398226.0
1188,Indiana,1993,52542.0,5739.0,6.7,-2514023.0
1239,Indiana,1994,51415.0,5794.0,7.1,-2499802.0
1290,Indiana,1995,52503.0,5851.0,6.9,-2564800.0
1341,Indiana,1996,48051.0,5906.0,7.2,-2654063.0
1392,Indiana,1997,45750.0,5955.0,7.4,-2635298.0
1443,Indiana,1998,44182.0,5999.0,7.1,-2626644.0
1494,Indiana,1999,43124.0,6045.0,7.2,-2741848.0
1545,Indiana,2000,44023.0,6092.0,8.2,-2822296.0
1596,Indiana,2001,49614.0,6128.0,8.8,-2720538.0
1647,Indiana,2002,52532.0,6156.0,8.2,-2802663.0
1698,Indiana,2003,55292.0,6197.0,9.2,-2881251.0
1749,Indiana,2004,54883.0,6233.0,10.2,-2874116.0
1800,Indiana,2005,58589.0,6279.0,12.6,-2895874.0
1851,Indiana,2006,48934.0,6333.0,13.9,-2842992.0
1902,Indiana,2007,71571.0,6380.0,14.5,-2885364.0
1953,Indiana,2008,123765.0,6425.0,17.1,-2792257.0
2004,Indiana,2009,150685.0,6459.0,14.0,-2562047.0
2055,Indiana,2010,182590.0,6490.0,15.0,-2683793.0
2106,Indiana,2011,203475.0,6516.0,17.9,-2646494.0
2157,Indiana,2012,196823.0,6538.0,18.2,-2573770.0
2208,Indiana,2013,202498.0,6568.0,18.0,-2693482.0
2259,Indiana,2014,216537.0,6594.0,18.1,-2717004.0
